SampleID,Source/Pipeline,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA
EG,bio4,14,0.5049,0.0229,6.4550,0.8400,0.0342,85.7143,0.0000
EG,jams,16,0.5195,0.0219,8.2210,0.8251,0.0370,100.0000,0.0170
EG,wgsa2,17,0.7056,0.0168,5.3905,0.8573,0.0249,100.0000,0.0855
EG,woltka,104,0.4903,0.0077,11.2129,0.6005,0.0260,100.0000,5.8083
MIX-A,bio4,11,0.9901,0.0077,2.9796,0.9579,0.0142,81.8182,0.0000
MIX-A,jams,12,0.8044,0.0333,7.8245,0.7999,0.0665,72.7273,0.0000
MIX-A,wgsa2,16,0.9918,0.0066,5.0977,0.9472,0.0127,100.0000,0.2011
MIX-A,woltka,71,0.5211,0.0129,13.5829,0.5432,0.0480,100.0000,20.8190
MIX-B,bio4,11,0.7377,0.0424,8.7925,0.7668,0.0731,72.7273,0.0000
MIX-B,jams,12,0.9641,0.0187,7.6764,0.8879,0.0285,81.8182,0.0000
MIX-B,wgsa2,15,0.9723,0.0123,6.6490,0.9078,0.0206,100.0000,0.0593
MIX-B,woltka,98,0.8437,0.0068,15.5132,0.6677,0.0236,100.0000,13.2340
MIX-C,bio4,12,0.2631,0.0548,13.3953,0.6710,0.1200,63.6364,29.4877
MIX-C,jams,13,0.4014,0.0609,13.0499,0.6042,0.1051,90.9091,23.3781
MIX-C,wgsa2,17,0.4554,0.0463,10.0075,0.6068,0.1016,100.0000,8.6894
MIX-C,woltka,90,0.2630,0.0106,14.3575,0.5224,0.0500,100.0000,44.9789
MIX-D,bio4,11,0.9451,0.0163,3.4686,0.9103,0.0313,72.7273,0.0000
MIX-D,jams,13,0.8902,0.0220,7.8532,0.8569,0.0450,90.9091,0.0210
MIX-D,wgsa2,13,0.8865,0.0210,6.1381,0.8632,0.0452,100.0000,0.1668
MIX-D,woltka,49,0.7181,0.0119,9.4359,0.7078,0.0426,100.0000,1.4004
