SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR11487937,19,0.2750,0.0046,5.9654,0.7820,0.0062,100.0000,3.9799,bio4
SRR11487938,19,0.3349,0.0044,5.4644,0.7892,0.0060,100.0000,3.4926,bio4
SRR11487939,19,0.2702,0.0045,6.6548,0.7857,0.0062,100.0000,3.9371,bio4
SRR11487940,19,0.2963,0.0043,5.8315,0.7928,0.0061,100.0000,4.0588,bio4
SRR11487941,19,0.3061,0.0044,6.5860,0.7880,0.0061,100.0000,3.8522,bio4
Average,19,0.2965,0.0045,6.1004,0.7876,0.0061,100.0000,3.8641,bio4
SRR11487937,140,0.7614,0.0006,25.8017,0.7860,0.0022,100.0000,2.7888,jams
SRR11487938,119,0.7550,0.0007,24.7342,0.7860,0.0024,100.0000,2.6403,jams
SRR11487939,150,0.7593,0.0006,25.1078,0.7895,0.0021,100.0000,2.7315,jams
SRR11487940,123,0.7619,0.0007,25.3549,0.7891,0.0023,100.0000,2.6188,jams
SRR11487941,131,0.7605,0.0006,23.9197,0.7887,0.0023,100.0000,2.7236,jams
Average,133,0.7596,0.0006,24.9837,0.7879,0.0022,100.0000,2.7006,jams
SRR11487937,2112,0.6665,0.0001,71.0957,0.7291,0.0007,100.0000,15.0659,wgsa
SRR11487938,2151,0.6689,0.0000,72.1350,0.7293,0.0007,100.0000,14.7853,wgsa
SRR11487939,2080,0.6680,0.0001,69.7711,0.7296,0.0007,100.0000,14.9241,wgsa
SRR11487940,2162,0.6702,0.0000,71.5615,0.7299,0.0007,100.0000,14.9484,wgsa
SRR11487941,2155,0.6691,0.0000,70.9053,0.7307,0.0007,100.0000,14.8339,wgsa
Average,2132,0.6685,0.0001,71.0937,0.7297,0.0007,100.0000,14.9115,wgsa
SRR11487937,940,0.5403,0.0002,78.7452,0.6014,0.0011,100.0000,27.9019,wol
SRR11487938,948,0.5346,0.0002,80.8708,0.5958,0.0011,100.0000,28.4111,wol
SRR11487939,944,0.5421,0.0002,78.7379,0.6030,0.0011,100.0000,27.9099,wol
SRR11487940,940,0.5380,0.0002,79.9263,0.5962,0.0011,100.0000,28.4916,wol
SRR11487941,944,0.5390,0.0002,79.0126,0.5975,0.0011,100.0000,28.4270,wol
Average,943,0.5388,0.0002,79.4586,0.5988,0.0011,100.0000,28.2283,wol
